read2_code,phecode
B933.,174.3
B934.,200.1
B935.,200.0
B9372,200.0
B937W,200.0
B93yz,199.0
BA...,199.0
BA0..,199.0
BA00.,158.0
BA022,173.0
BA03.,174.3
BA04.,189.2
BA06.,191.0
BB2F.,172.2
BB5h.,199.0
BB64.,216.0
BBD9.,227.0
BBDC.,228.0
BBE9.,217.1
BBGB.,199.0
BBH0.,215.0
BBHZ.,199.0
BBJ5.,170.2
BBJ7.,170.2
BBJA.,214.0
BBJD.,214.0
BBK35,215.0
BBP1.,195.1
BBT3.,228.0
BBT4.,228.0
BBT7.,199.0
BBT8.,228.0
BBU4.,228.0
BBV0.,213.0
BBV7.,213.0
BBe4.,215.0
BBg1.,202.2
BBl..,202.2
BBr27,204.1
BBr68,204.3
BBs2.,200.0
Byu20,165.1
Byu41,172.11
Byu51,195.1
Byu56,170.2
Byu57,159.4
Byu6.,174.11
Byu80,187.1
Byu81,187.1
Byu90,189.4
ByuA2,191.1
ByuC0,195.1
ByuC1,195.1
ByuC7,198.0
ByuD1,202.2
ByuD2,202.2
ByuD4,200.0
ByuD8,204.0
ByuDC,202.2
ByuDD,202.2
ByuDE,202.2
ByuF5,172.11
ByuF6,172.11
ByuFF,172.11
ByuFG,174.1
ByuG6,229.0
ByuG6,214.1
ByuG7,214.0
ByuG9,229.0
ByuG9,216.0
ByuGH,229.0
ByuGJ,210.0
ByuGN,216.0
ByuGP,225.1
ByuHC,200.0
ByuHD,200.0
C00..,240.0
C000.,240.0
C00z.,240.0
C01..,240.0
C010.,241.1
C011.,241.2
C01z.,240.0
C02..,242.0
C020.,242.1
C0200,242.1
C0201,242.1
C020z,242.1
C021.,242.0
C022.,242.2
C022z,242.2
C023.,242.0
C023z,242.0
C02z.,242.0
C02z0,242.0
C02zz,242.0
C03..,244.5
C03y.,244.5
C04..,244.4
C040.,244.1
C041.,244.1
C0410,244.1
C041z,244.1
C042.,244.2
C043.,244.1
C043z,244.1
C04y.,244.2
C04z.,244.4
C05..,245.0
C050.,245.1
C0500,245.1
C050z,245.1
C051.,245.1
C052.,245.21
C054.,245.0
C05z.,245.0
C06..,246.0
C062.,241.1
C0630,246.0
C06y.,246.0
C06yz,246.0
C06z.,246.0
C10..,250.2
C100.,250.2
C1000,250.1
C1001,250.2
C100z,250.2
C1010,250.11
C1011,250.21
C101y,250.21
C1030,250.1
C1074,443.7
C1083,250.1
C1085,443.7
C1088,250.1
C1089,250.1
C1093,250.2
C1094,443.7
C1095,443.7
C1097,250.2
C10B0,250.2
C11..,251.0
C110.,251.1
C1100,251.1
C110z,251.1
C1111,251.1
C112.,251.1
C1120,251.1
C1121,251.1
C112z,251.1
C115.,251.8
C11y0,250.2
C11y1,251.1
C12..,252.0
C120.,252.1
C121.,252.2
C1210,252.0
C1211,252.2
C121z,252.2
C12y.,252.0
C12z.,252.0
C1301,253.11
C1302,253.11
C132.,253.2
C1320,253.2
C132z,253.2
C1330,253.2
C134.,253.2
C1340,253.2
C1341,253.2
C1342,253.2
C1343,253.2
C135.,253.3
C1360,253.7
C1371,258.0
C1372,258.0
C13y1,253.0
C13y2,253.0
C13z.,253.0
C15..,255.0
C150.,255.11
C1501,255.11
C1502,255.11
C150z,255.11
C151.,255.12
