read2_code,phecode
C34..,274.1
C340.,274.11
C342.,274.11
C344.,274.11
C345.,588.0
C346.,274.1
C34y2,274.1
C34y5,274.1
C34z.,274.1
C35..,275.0
C3500,275.1
C3502,275.1
C3504,275.1
C350z,275.1
C3510,275.2
C3521,275.3
C3530,275.53
C3533,275.53
C3534,275.53
C354.,275.5
C3540,275.5
C3541,275.5
C3542,275.5
C3543,275.5
C3544,275.5
C3545,275.5
C3548,275.5
C3549,262.0
C354A,275.5
C354D,275.5
C360.,276.11
C361.,276.12
C362.,276.41
C3620,276.41
C3621,276.41
C3627,276.41
C362z,276.41
C3631,276.42
C3650,276.5
C3651,276.5
C3652,276.5
C3653,276.5
C366.,276.6
C3661,782.3
C367.,276.13
C368.,276.14
C36z0,276.1
C36z2,276.1
C370.,499.0
C3702,499.0
C3712,277.1
C3714,277.1
C3716,277.1
C371z,277.1
C3722,790.6
C373.,270.33
C3734,270.33
C3738,270.33
C373A,270.33
C373C,270.33
C374.,277.4
C3741,277.4
C3742,277.4
C3743,277.4
C374y,277.4
C374z,277.4
C375.,271.9
C3760,697.0
C3761,277.0
C3762,277.0
C378.,277.5
C37X.,277.4
C37y.,277.5
C37y.,277.0
C37y3,277.0
C37y8,288.0
C37yA,277.5
C37yA,277.0
C37yC,277.5
C37yC,277.0
C37z.,277.0
C380.,278.1
C3800,278.1
C3801,278.1
C3802,513.3
C3803,278.1
C3804,278.1
C3805,278.1
C381.,278.3
C38y.,278.0
C38y0,513.3
C38z0,278.1
